Firm name,SIC code,Fama-French 12,,Clustered
,,Classification code,,code
"Case 1 - Healthcare, Medical Equipment, and Drugs",,,,
TEAM HEALTH HOLDINGS INC,7363,12,Others,11
WELLCARE HEALTH PLANS INC,6324,11,Money,11
SELECT MEDICAL HOLDINGS CORP,8069,10,Hlth,11
SYMBION INC TN,8011,10,Hlth,11
LHC GROUP INC,8082,10,Hlth,11
LIFEPOINT HOSPITALS INC,8062,10,Hlth,11
TENET HEALTHCARE CORP,8062,10,Hlth,11
AMN HEALTHCARE SERVICES INC,8090,10,Hlth,11
HCA HOLDINGS INC,8062,10,Hlth,11
"Case 2 - Oil, Gas, and Coal Extraction and Products",,,,
GENESIS ENERGY LP,5171,9,Shops,4
CROSSTEX ENERGY LP,5172,9,Shops,4
HOLLY ENERGY PARTNERS LP,4613,12,Others,4
GULFPORT ENERGY CORP,1311,4,Energy,4
CONTINENTAL RESOURCES INC,1311,4,Energy,4
UNIT CORP,1311,4,Energy,4
MID CON ENERGY PARTNERS LP,1311,4,Energy,4
CHEVRON CORP,2911,4,Energy,4
