,Mean,Std,Q1,Q3,Median,Min,Max
Ret BTC Ex1,-3.560437879382564e-05,0.009167144730186035,-0.0027435447499999997,0.0028170282500000004,8.02e-05,-0.093730436,0.108790347
Ret BTC Ex2,-3.559691064887478e-05,0.008960284400497542,-0.0027132815000000003,0.0027557902500000005,2.515e-05,-0.09613931,0.112706936
Ret BTC Ex4,-3.616736499215078e-05,0.008986780016653453,-0.0026422827499999997,0.0026997195,5.7199999999999994e-05,-0.091598434,0.111957207
Ret BTC Ex5,-3.5209867281527846e-05,0.009094710439140785,-0.00257980325,0.0026453195000000003,0.0,-0.095782405,0.116162989
Ret BTC Ex6,-2.1663665293040516e-05,0.008320123584473026,-0.002428502,0.002528707,0.0,-0.099464804,0.107638399
Ret BTC Ex7,-3.664858712715901e-05,0.009042575719862361,-0.0025925822500000003,0.00269744275,2.51e-05,-0.092936924,0.112861309
Ret BTC Ex8,-3.116384000523254e-05,0.009886960493486835,-0.0027993007500000003,0.002948006,7.23e-05,-0.154818151,0.106970047
Ret BTC Ex9,-3.5577225667190496e-05,0.008957285596434678,-0.002712314,0.0028102239999999996,5.91e-05,-0.091708081,0.102323664
Vol BTC Ex1,1497.8030088025205,1081.8417423852127,805.85891725,1846.89485425,1200.5888545000003,0.0,7095.242270999999
Vol BTC Ex2,941.3328300586196,1105.296120671406,225.3473732,1211.3807834999998,533.8921012,0.0,7119.614573999998
Vol BTC Ex3,6126.58648475928,6288.367894058794,0.0,9753.6375,5008.975,0.0,32353.97
Vol BTC Ex5,55.746172826598084,83.28095598606069,8.166739325,64.52701276250001,22.15193194,0.0,562.3449954
Vol BTC Ex8,39.45408102948293,97.48058083619983,3.7334360450000004,18.331416485000002,8.069113015,0.0,551.1072608
Vol BTC Ex9,57.469901635269714,81.62823779399008,9.93075,68.55,25.33,0.0,554.18
Net BTC Ex1,41.208338321079594,522.9736565360445,-80.861152135,158.6530964125,30.181841995,-29880.460112459998,22427.50707574
Net BTC Ex2,6.965494579154235,695.8837055392055,-76.76532284750002,110.7057333575,5.30136757,-15767.861610339998,14692.64668308
Net BTC Ex3,12.410422413070414,485.7937433647205,20.4087682,100.57710368,46.98815422,-9458.76158642,18051.21142568
Net BTC Ex4,27.200642456967014,312.48576966114,-47.023460840000006,86.30900378,10.524782684999998,-4427.06328827,5335.01216038
Net BTC Ex5,-6.8399785097540535,151.07091741003762,-38.6168224475,28.94938110999999,-4.198976249999995,-3171.8986980199998,2688.90910541
Net BTC Ex6,17.58250765126371,242.2894775073004,-67.13093146750002,97.54093186999998,12.99350432,-3147.19706043,7013.6181351
Net BTC Ex7,2.0599491221062287,200.7448217093057,-55.71880829,53.0214949325,-2.1556016799999975,-2290.53540427,5076.6245381
Net BTC Ex9,-1.9158413125379399,271.0138553523854,-26.9896579925,15.2799284375,-4.556310885,-7652.19937212,11649.463414900001
Ret ETH Ex1,-9.627237094453147e-05,0.011545251843694407,-0.00404707775,0.00411481,0.0,-0.14073428400000002,0.148899101
Ret ETH Ex2,-9.62347573260068e-05,0.01145591359554192,-0.004179579750000001,0.0041547885,-2.065e-05,-0.139234794,0.141020213
Ret ETH Ex5,-4.0421877093144944e-05,0.01134193379964311,-0.0036600045000000003,0.003702154,0.0,-0.137872512,0.166442123
Ret ETH Ex7,-9.712035491889055e-05,0.01146828912895148,-0.004203334,0.0040578865,-1.16e-05,-0.135829967,0.141868596
Ret ETH Ex8,-9.609702446363156e-05,0.01218067352454817,-0.0041800282499999996,0.00418347175,0.0,-0.14233668300000002,0.145326529
Ret ETH Ex9,-9.667544773678697e-05,0.01151083072871518,-0.00430183025,0.0042287995,0.0,-0.141887031,0.138675689
Vol ETH Ex1,11834.673934701124,11102.227741554918,4572.8034975,15137.675465,8185.80055,0.0,71453.69073
Vol ETH Ex2,8470.284161133734,9692.192964379692,2559.078211,10348.857802499999,5203.592722,0.0,66927.13972
Vol ETH Ex5,229.33861298057357,323.84266082631507,40.3842510825,270.71578589999996,109.5738469,0.0,2236.112826
Vol ETH Ex8,760.6869718868974,2230.4332277687763,32.560951925,244.29470502499998,81.20248794999999,0.0,14141.44865
Vol ETH Ex9,326.5339979048916,451.21825219346954,59.5175,389.635,156.12,0.0,2985.14
Net ETH Ex1,119.52518182234408,3292.7460853727157,-1142.0164249999993,1193.3092,26.39420000000002,-38982.989,48589.5745
Net ETH Ex2,48.547684883568955,13053.125687868467,-852.5843,835.807675,-3.2233500000000106,-840022.5914,492152.8667
Net ETH Ex5,18.78674602956573,2149.6259354941258,-226.219375,190.562475,-5.219950000000001,-159936.6569,56750.6455
Net ETH Ex7,-25.97899803113561,3060.779629809069,-559.4191999999999,332.4527250000002,-69.334,-137162.8595,92842.4148
Net ETH Ex8,4.456186806645743,351.17761328993004,-77.652175,82.147775,4.547650000000003,-5526.587799999999,6428.977
Net ETH Ex9,-90.22111544348449,1763.2952418138996,-162.46722499999998,47.9145,-12.017349999999999,-65904.5762,62489.8548
