,Ret BTC Ex1,Ret BTC Ex2,Ret BTC Ex4,Ret BTC Ex5,Ret BTC Ex6,Ret BTC Ex7,Ret BTC Ex8,Ret BTC Ex9,Vol BTC Ex1,Vol BTC Ex2,Vol BTC Ex3,Vol BTC Ex5,Vol BTC Ex8,Vol BTC Ex9
Ret BTC Ex1,1.0,0.9654533310739775,0.9581331352129508,0.923490955358568,0.8982319362192668,0.9487531667809742,0.9013841451732827,0.9675278505543617,-0.031382887229206166,-0.06259569389004241,-0.00901011331862613,-0.045989778799195816,0.0021743601541732685,-0.05023675733649335
Ret BTC Ex2,0.9654533310739775,1.0,0.9751192619605726,0.9301361783873412,0.9141522172618793,0.9642872105905629,0.8969398280112555,0.9769425961061938,-0.02876789523393399,-0.05895012710557011,-0.0058485248439328974,-0.041766497933028154,0.0012005792363608456,-0.04849730636398325
Ret BTC Ex4,0.9581331352129508,0.9751192619605726,1.0,0.9369993140538126,0.9116370640523984,0.9758742609911694,0.8918380900252681,0.9700420031850718,-0.025820667608780837,-0.055817869439454965,-0.006860235299148385,-0.04671104742777028,0.00187586569759763,-0.05121602112208117
Ret BTC Ex5,0.923490955358568,0.9301361783873412,0.9369993140538126,1.0,0.8640036918439001,0.9299030607334906,0.8651900012813801,0.9330582864546142,-0.02245175071473937,-0.057052724673063354,-0.0022074669355182136,-0.041205928940649325,0.0016767338343527457,-0.04738711650826027
Ret BTC Ex6,0.8982319362192668,0.9141522172618793,0.9116370640523984,0.8640036918439001,1.0,0.9099168742883832,0.838894939084449,0.9130333018585186,-0.02245387133103433,-0.05295735129740549,-0.007059093894272255,-0.043634844923667364,0.000917992708084385,-0.04339971858485704
Ret BTC Ex7,0.9487531667809742,0.9642872105905629,0.9758742609911694,0.9299030607334906,0.9099168742883832,1.0,0.8878542689182275,0.9630542400020706,-0.028188944383523252,-0.055126509289088736,-0.0069758538959078875,-0.04425384639406222,0.002544841111535536,-0.05166677739385567
Ret BTC Ex8,0.9013841451732827,0.8969398280112555,0.8918380900252681,0.8651900012813801,0.838894939084449,0.8878542689182275,1.0,0.9023907526794098,-0.033994516214016474,-0.05332350606979037,-0.007868454346042534,-0.03677877558855235,0.0013318062220890523,-0.04892311914982252
Ret BTC Ex9,0.9675278505543617,0.9769425961061938,0.9700420031850718,0.9330582864546142,0.9130333018585186,0.9630542400020706,0.9023907526794098,1.0,-0.031646247724694536,-0.05796335242955685,-0.00840859378878716,-0.04405511950748594,0.0018011179057136524,-0.049893515891116715
Vol BTC Ex1,-0.031382887229206166,-0.02876789523393399,-0.025820667608780837,-0.02245175071473937,-0.02245387133103433,-0.028188944383523252,-0.033994516214016474,-0.031646247724694536,1.0,0.4641391011795338,0.4645170789757294,0.24999119095979366,0.09590645439432366,0.3229126657952312
Vol BTC Ex2,-0.06259569389004241,-0.05895012710557011,-0.055817869439454965,-0.057052724673063354,-0.05295735129740549,-0.055126509289088736,-0.05332350606979037,-0.05796335242955685,0.4641391011795338,1.0,0.0817273009111725,0.6478039745103316,-0.11255589729693469,0.6538677836642948
Vol BTC Ex3,-0.00901011331862613,-0.0058485248439328974,-0.006860235299148385,-0.0022074669355182136,-0.007059093894272255,-0.0069758538959078875,-0.007868454346042534,-0.00840859378878716,0.4645170789757294,0.0817273009111725,1.0,-0.18300866822281445,0.07424946942404634,-0.06394893945680681
Vol BTC Ex5,-0.045989778799195816,-0.041766497933028154,-0.04671104742777028,-0.041205928940649325,-0.043634844923667364,-0.04425384639406222,-0.03677877558855235,-0.04405511950748594,0.24999119095979366,0.6478039745103316,-0.18300866822281445,1.0,-0.12069335559290129,0.754187355689871
Vol BTC Ex8,0.0021743601541732685,0.0012005792363608456,0.00187586569759763,0.0016767338343527457,0.000917992708084385,0.002544841111535536,0.0013318062220890523,0.0018011179057136524,0.09590645439432366,-0.11255589729693469,0.07424946942404634,-0.12069335559290129,1.0,-0.08544558831403018
Vol BTC Ex9,-0.05023675733649335,-0.04849730636398325,-0.05121602112208117,-0.04738711650826027,-0.04339971858485704,-0.05166677739385567,-0.04892311914982252,-0.049893515891116715,0.3229126657952312,0.6538677836642948,-0.06394893945680681,0.754187355689871,-0.08544558831403018,1.0
