X_V_round,shortfall_std,shortfall_std2,log_shortfall_std,log_shortfall_std2,log_X_V_round
0.001,0.1773257379,0.3856742891,-1.72976691,-0.952762076,-6.907755279
0.002,0.2240347833,0.4325278099,-1.495953957,-0.838108654,-6.214608098
0.003,0.2500149425,0.442833302,-1.386234593,-0.814561873,-5.80914299
0.004,0.2669973842,0.4626562642,-1.320516418,-0.770770911,-5.521460918
0.005,0.2826350046,0.4763146382,-1.26359895,-0.741676639,-5.298317367
0.006,0.2968388264,0.4935330443,-1.21456596,-0.706165463,-5.11599581
0.007,0.3119011799,0.5049611153,-1.165068872,-0.683273852,-4.96184513
0.008,0.3304957673,0.5190033914,-1.107161427,-0.655844861,-4.828313737
0.009,0.3359792367,0.5047492896,-1.090705917,-0.683693429,-4.710530702
0.01,0.361807926,0.5380640522,-1.016641799,-0.61977767,-4.605170186
0.011,0.3726344095,0.5482982869,-0.987157475,-0.600935821,-4.509860006
0.012,0.3763784698,0.5389700261,-0.977160073,-0.61809532,-4.422848629
0.013,0.3947564293,0.5342648323,-0.929486339,-0.626863622,-4.342805922
0.014,0.4050497367,0.5497520422,-0.903745413,-0.598287935,-4.268697949
0.015,0.4302193992,0.5965251098,-0.84345997,-0.516633943,-4.199705078
0.016,0.4197931584,0.560064127,-0.867993169,-0.579703989,-4.135166557
0.017,0.4465496715,0.5757867217,-0.806204638,-0.552017962,-4.074541935
0.018,0.4478392362,0.579429257,-0.803320959,-0.5457117,-4.017383521
0.019,0.4522675002,0.5887137203,-0.79348146,-0.529815257,-3.9633163
0.02,0.4662031346,0.5914794747,-0.763133829,-0.525128297,-3.912023005
0.021,0.478611842,0.5897736605,-0.736865361,-0.528016442,-3.863232841
0.022,0.4961240478,0.6413660677,-0.700929287,-0.444154897,-3.816712826
0.023,0.5084415491,0.6464938678,-0.676405018,-0.436191566,-3.772261063
0.024,0.5027699326,0.588803927,-0.687622604,-0.529662042,-3.729701449
0.025,0.5312524253,0.6320436835,-0.632517993,-0.458796768,-3.688879454
0.026,0.528246416,0.6500801289,-0.638192407,-0.430659648,-3.649658741
0.027,0.5270869609,0.6455789362,-0.640389733,-0.437607789,-3.611918413
0.028,0.56383116,0.6966880101,-0.573000434,-0.361417587,-3.575550769
0.029,0.5806712709,0.6738948547,-0.543570481,-0.394681182,-3.540459449
0.03,0.5808938555,0.6986157267,-0.543187232,-0.358654435,-3.506557897
0.031,0.5782096301,0.7028050316,-0.547818794,-0.352675763,-3.473768074
0.032,0.6084852613,0.6806015705,-0.496782588,-0.384778209,-3.442019376
0.033,0.6132006108,0.7058265377,-0.489063136,-0.348385769,-3.411247718
0.034,0.6105221979,0.6729620647,-0.493440626,-0.396066318,-3.381394754
0.035,0.6399517993,0.7438614559,-0.446362419,-0.295900477,-3.352407217
0.036,0.6498548376,0.730389113,-0.431006268,-0.314177855,-3.324236341
0.037,0.6393022769,0.7612174717,-0.44737789,-0.272836191,-3.296837366
0.038,0.6515821421,0.7650313259,-0.428351809,-0.267838497,-3.270169119
0.039,0.6522731341,0.7452293001,-0.427291887,-0.294063323,-3.244193633
0.04,0.6741528328,0.7421034744,-0.394298439,-0.298266592,-3.218875825
0.041,0.690934494,0.7816448874,-0.369710258,-0.24635475,-3.194183212
0.042,0.6717881656,0.7851668139,-0.397812218,-0.241859082,-3.170085661
0.043,0.6905623898,0.7286477395,-0.370248956,-0.316564874,-3.146555163
0.044,0.7198284481,0.8368612255,-0.328742362,-0.178097022,-3.123565645
0.045,0.7016223977,0.7740847453,-0.354359915,-0.256073921,-3.101092789
0.046,0.7142006658,0.80403741,-0.336591312,-0.218109481,-3.079113882
0.047,0.7429995002,0.8927428925,-0.297059907,-0.113456654,-3.057607677
0.048,0.7614349,0.8427589795,-0.2725506,-0.17107427,-3.036554268
0.049,0.7110935416,0.8128294807,-0.340951294,-0.207233932,-3.015934981
0.05,0.7526427098,0.8018916849,-0.284164653,-0.220781737,-2.995732274
0.051,0.7466330206,0.8712223957,-0.292181486,-0.137858001,-2.975929646
0.052,0.7636346409,0.9210919391,-0.269665823,-0.082195422,-2.95651156
0.053,0.7629031594,0.9427097836,-0.270624177,-0.058996802,-2.937463365
0.054,0.7983729097,0.8793471815,-0.225179485,-0.128575486,-2.918771232
0.055,0.7831941858,0.8708020741,-0.244374611,-0.138340568,-2.900422094
0.056,0.7883019424,0.8645146359,-0.237874087,-0.145587044,-2.882403588
0.057,0.777297548,0.8329524882,-0.251932057,-0.182778675,-2.864704011
0.058,0.7386912792,0.883244281,-0.3028752,-0.124153468,-2.847312268
0.059,0.8443333419,0.8924711903,-0.169207908,-0.113761046,-2.830217835
0.06,0.8246087931,0.9134746301,-0.192846195,-0.090499676,-2.813410717
0.061,0.8529736626,0.8596840477,-0.159026608,-0.151190344,-2.796881415
0.062,0.8804660236,0.9343022087,-0.127303939,-0.067955329,-2.780620894
0.063,0.8527251089,0.8820211183,-0.159318047,-0.12553928,-2.764620553
0.064,0.8042612819,0.9186678639,-0.217831085,-0.084830632,-2.748872196
0.065,0.8675488594,0.867262146,-0.142083447,-0.142413988,-2.733368009
0.066,0.8302567866,0.8452277086,-0.186020245,-0.16814921,-2.718100537
0.067,0.8929250209,0.8703166478,-0.113252665,-0.138898171,-2.70306266
0.068,0.9031087419,0.8996203502,-0.10191231,-0.105782438,-2.688247574
0.069,0.8586090825,0.8697812032,-0.152441545,-0.13951359,-2.673648774
0.07,0.936426385,1.0495275721,-0.065684367,0.0483401316,-2.659260037
0.071,0.9242085983,0.8995741665,-0.078817477,-0.105833776,-2.645075402
0.072,0.9473140807,0.8892349028,-0.054124582,-0.117393846,-2.63108916
0.073,0.8488333605,0.9263496185,-0.163892389,-0.076503558,-2.617295838
0.074,0.9114809278,0.8893664295,-0.092684609,-0.117245947,-2.603690186
