"game","team","time","pfval"
1,"team1","2021-01-01",1
1,"team1","2021-02-01",1.00311477524512
1,"team1","2021-03-01",1.01317326681364
1,"team1","2021-04-01",1.00038168021452
1,"team1","2021-05-01",0.986296683601062
1,"team1","2021-06-01",0.978539428855258
1,"team1","2021-07-01",0.975985679653786
1,"team1","2021-08-01",0.986225588345773
1,"team1","2021-09-01",0.988597438984746
1,"team1","2021-10-01",0.998775136488735
1,"team1","2021-11-01",1.0049459530361
1,"team1","2021-12-01",1.0065581263596
1,"team1","2022-01-01",1.0092906126644
1,"team1","2022-02-01",1.01329953123567
1,"team1","2022-03-01",1.0226421895066
1,"team1","2022-04-01",1.02082401288395
1,"team1","2022-05-01",1.02163567181702
1,"team1","2022-06-01",1.02779972292881
1,"team1","2022-07-01",1.03505181829714
1,"team1","2022-08-01",1.05487008162457
1,"team1","2022-09-01",1.06788069639712
1,"team1","2022-10-01",1.07927998762868
1,"team1","2022-11-01",1.08190488115096
1,"team1","2022-12-01",1.10128365459275
1,"team1","2023-01-01",1.12316304540836
1,"team1","2023-02-01",1.12203380548983
1,"team1","2023-03-01",1.11991080117351
1,"team1","2023-04-01",1.14093710022486
1,"team1","2023-05-01",1.16671571154538
1,"team1","2023-06-01",1.13977868821685
1,"team1","2023-07-01",1.14476295653519
1,"team1","2023-08-01",1.14828069440908
1,"team1","2023-09-01",1.14930826200292
1,"team1","2023-10-01",1.15359998416461
1,"team1","2023-11-01",1.174667871479
1,"team1","2023-12-01",1.18503464754323
1,"team1","2024-01-01",1.18269991135161
1,"team1","2024-02-01",1.20421557302174
1,"team1","2024-03-01",1.21988260043526
1,"team1","2024-04-01",1.23395962821186
1,"team1","2024-05-01",1.25895870079579
1,"team1","2024-06-01",1.27932679735759
1,"team1","2024-07-01",1.31916781037963
1,"team1","2024-08-01",1.34549494454312
1,"team1","2024-09-01",1.36054965604331
1,"team1","2024-10-01",1.37735180276429
1,"team1","2024-11-01",1.40747061314207
1,"team1","2024-12-01",1.38598214074583
1,"team1","2025-01-01",1.39218200448191
1,"team1","2025-02-01",1.38609973032154
1,"team1","2025-03-01",1.40008856170984
1,"team1","2025-04-01",1.37831034080349
1,"team1","2025-05-01",1.36792888899718
1,"team1","2025-06-01",1.35975757793662
1,"team1","2025-07-01",1.34234364991272
1,"team1","2025-08-01",1.30260770454317
1,"team1","2025-09-01",1.34491018777914
1,"team1","2025-10-01",1.4610366162401
1,"team1","2025-11-01",1.42927948847606
1,"team1","2025-12-01",1.40646477223324
1,"team2","2021-01-01",1
1,"team2","2021-02-01",1.00605374362222
1,"team2","2021-03-01",1.01317622362618
1,"team2","2021-04-01",1.00155456388619
1,"team2","2021-05-01",0.989336662506111
1,"team2","2021-06-01",0.982358035843219
1,"team2","2021-07-01",0.976178090755243
1,"team2","2021-08-01",0.984877947103143
1,"team2","2021-09-01",0.98760925767708
1,"team2","2021-10-01",0.992287963853558
1,"team2","2021-11-01",0.997802569622567
1,"team2","2021-12-01",1.00095251531999
1,"team2","2022-01-01",1.00697315315289
1,"team2","2022-02-01",1.01288748413793
1,"team2","2022-03-01",1.019198614992
1,"team2","2022-04-01",1.01485374264393
1,"team2","2022-05-01",1.0180621292915
1,"team2","2022-06-01",1.02347985705663
1,"team2","2022-07-01",1.03262948967877
1,"team2","2022-08-01",1.0493891763763
1,"team2","2022-09-01",1.05781154016983
1,"team2","2022-10-01",1.06381640990097
1,"team2","2022-11-01",1.06837770799203
1,"team2","2022-12-01",1.08111180266208
1,"team2","2023-01-01",1.09376226475877
1,"team2","2023-02-01",1.09210164294163
1,"team2","2023-03-01",1.09121291376252
1,"team2","2023-04-01",1.0999135254395
1,"team2","2023-05-01",1.11097181363693
1,"team2","2023-06-01",1.09987605811846
1,"team2","2023-07-01",1.09669714080411
1,"team2","2023-08-01",1.10271854293476
1,"team2","2023-09-01",1.11394414481004
1,"team2","2023-10-01",1.1255684781951
1,"team2","2023-11-01",1.13904992588064
1,"team2","2023-12-01",1.15059419266123
1,"team2","2024-01-01",1.14934042857073
1,"team2","2024-02-01",1.16359744723234
1,"team2","2024-03-01",1.17804336459157
1,"team2","2024-04-01",1.19091554425294
1,"team2","2024-05-01",1.22493189611792
1,"team2","2024-06-01",1.24902613082616
1,"team2","2024-07-01",1.28843827582188
1,"team2","2024-08-01",1.31078575189058
1,"team2","2024-09-01",1.31773159176061
1,"team2","2024-10-01",1.3272180119245
1,"team2","2024-11-01",1.33770171404405
1,"team2","2024-12-01",1.31930414343134
1,"team2","2025-01-01",1.29695460386553
1,"team2","2025-02-01",1.2809418163073
1,"team2","2025-03-01",1.28150531299788
1,"team2","2025-04-01",1.27846289271297
1,"team2","2025-05-01",1.27498099927196
1,"team2","2025-06-01",1.25953970047175
1,"team2","2025-07-01",1.22270258939908
1,"team2","2025-08-01",1.20925765522441
1,"team2","2025-09-01",1.25133834281929
1,"team2","2025-10-01",1.35200422891003
1,"team2","2025-11-01",1.32817429587881
1,"team2","2025-12-01",1.29019956399198
1,"team3","2021-01-01",1
1,"team3","2021-02-01",1.00361607078357
1,"team3","2021-03-01",1.01607329918301
1,"team3","2021-04-01",0.997061860302719
1,"team3","2021-05-01",0.978605709414043
1,"team3","2021-06-01",0.970154434040217
1,"team3","2021-07-01",0.969227958792151
1,"team3","2021-08-01",0.981256865818976
1,"team3","2021-09-01",0.985499161648132
1,"team3","2021-10-01",0.99598244830123
1,"team3","2021-11-01",1.00116542981998
1,"team3","2021-12-01",1.00274341853238
1,"team3","2022-01-01",1.00690861282093
1,"team3","2022-02-01",1.01258147566493
1,"team3","2022-03-01",1.01744836937301
1,"team3","2022-04-01",1.01684965273683
1,"team3","2022-05-01",1.0196827223291
1,"team3","2022-06-01",1.02827534869731
1,"team3","2022-07-01",1.03293415090079
1,"team3","2022-08-01",1.05151782355818
1,"team3","2022-09-01",1.06394486193636
1,"team3","2022-10-01",1.07171729445997
1,"team3","2022-11-01",1.07285191438691
1,"team3","2022-12-01",1.09337333875193
1,"team3","2023-01-01",1.11628541352274
1,"team3","2023-02-01",1.11400813054236
1,"team3","2023-03-01",1.10921532021079
1,"team3","2023-04-01",1.12571679546094
1,"team3","2023-05-01",1.14990271848538
1,"team3","2023-06-01",1.12394288615692
1,"team3","2023-07-01",1.12957160247761
1,"team3","2023-08-01",1.13534772286485
1,"team3","2023-09-01",1.13865362603386
1,"team3","2023-10-01",1.14287977906574
1,"team3","2023-11-01",1.16657295177716
1,"team3","2023-12-01",1.17733248326133
1,"team3","2024-01-01",1.17266621526851
1,"team3","2024-02-01",1.19488994117794
1,"team3","2024-03-01",1.21270526167144
1,"team3","2024-04-01",1.22513390036287
1,"team3","2024-05-01",1.25053773099333
1,"team3","2024-06-01",1.2671720204277
1,"team3","2024-07-01",1.30958426415958
1,"team3","2024-08-01",1.33912160883056
1,"team3","2024-09-01",1.35737047203707
1,"team3","2024-10-01",1.37488531724048
1,"team3","2024-11-01",1.41025949449439
1,"team3","2024-12-01",1.38937931069016
1,"team3","2025-01-01",1.40007718786616
1,"team3","2025-02-01",1.39249947179669
1,"team3","2025-03-01",1.4103550715686
1,"team3","2025-04-01",1.38911847341003
1,"team3","2025-05-01",1.37748430582223
1,"team3","2025-06-01",1.36910023852372
1,"team3","2025-07-01",1.35542411882186
1,"team3","2025-08-01",1.31785846132744
1,"team3","2025-09-01",1.36534217309082
1,"team3","2025-10-01",1.48264363674484
1,"team3","2025-11-01",1.45683045032684
1,"team3","2025-12-01",1.46317840046125
1,"team4","2021-01-01",1
1,"team4","2021-02-01",1.0016521143781
1,"team4","2021-03-01",1.01601985454212
1,"team4","2021-04-01",1.00026268058506
1,"team4","2021-05-01",0.990503359374778
1,"team4","2021-06-01",0.977196911171866
1,"team4","2021-07-01",0.980444762833592
1,"team4","2021-08-01",0.994667045140291
1,"team4","2021-09-01",0.992384913570837
1,"team4","2021-10-01",1.00276615024589
1,"team4","2021-11-01",0.999458525955336
1,"team4","2021-12-01",0.995767525026713
1,"team4","2022-01-01",1.00152365962508
1,"team4","2022-02-01",1.00230025028966
1,"team4","2022-03-01",1.01194077936327
1,"team4","2022-04-01",1.01636460396138
1,"team4","2022-05-01",1.01541185575217
1,"team4","2022-06-01",1.01797244415967
1,"team4","2022-07-01",1.02145176621791
1,"team4","2022-08-01",1.04096056972347
1,"team4","2022-09-01",1.05464011688337
1,"team4","2022-10-01",1.07153243495714
1,"team4","2022-11-01",1.06634210174999
1,"team4","2022-12-01",1.08213242936087
1,"team4","2023-01-01",1.10187888250395
1,"team4","2023-02-01",1.10085409495866
1,"team4","2023-03-01",1.09618646474659
1,"team4","2023-04-01",1.11601393242626
1,"team4","2023-05-01",1.14442275173967
1,"team4","2023-06-01",1.12437022297267
1,"team4","2023-07-01",1.12888022221511
1,"team4","2023-08-01",1.12922205311872
1,"team4","2023-09-01",1.12613944453108
1,"team4","2023-10-01",1.12306082268308
1,"team4","2023-11-01",1.14058624563652
1,"team4","2023-12-01",1.14701503495199
1,"team4","2024-01-01",1.14337421141268
1,"team4","2024-02-01",1.16208580099988
1,"team4","2024-03-01",1.18606732441156
1,"team4","2024-04-01",1.19055236791023
1,"team4","2024-05-01",1.20758695146103
1,"team4","2024-06-01",1.22747758369832
1,"team4","2024-07-01",1.26765973527124
1,"team4","2024-08-01",1.30819794086192
1,"team4","2024-09-01",1.31767104308863
1,"team4","2024-10-01",1.32788615040704
1,"team4","2024-11-01",1.374551235245
1,"team4","2024-12-01",1.35172999533757
1,"team4","2025-01-01",1.378669969406
1,"team4","2025-02-01",1.3791502032158
1,"team4","2025-03-01",1.40161235256219
1,"team4","2025-04-01",1.36921534731707
1,"team4","2025-05-01",1.35209140713409
1,"team4","2025-06-01",1.35416162958519
1,"team4","2025-07-01",1.35292153323805
1,"team4","2025-08-01",1.31006955838079
1,"team4","2025-09-01",1.36555859816908
1,"team4","2025-10-01",1.52791222002931
1,"team4","2025-11-01",1.51351928898113
1,"team4","2025-12-01",1.49360505367012
1,"team5","2021-01-01",1
1,"team5","2021-02-01",1.00930856099422
1,"team5","2021-03-01",1.0205746708534
1,"team5","2021-04-01",0.999510334075172
1,"team5","2021-05-01",0.957785400734169
1,"team5","2021-06-01",0.967462490201052
1,"team5","2021-07-01",0.973925882784759
1,"team5","2021-08-01",0.985811128360392
1,"team5","2021-09-01",1.01468038768648
1,"team5","2021-10-01",1.02327122543774
1,"team5","2021-11-01",1.04156633581469
1,"team5","2021-12-01",1.05550341150887
1,"team5","2022-01-01",1.0614914076111
1,"team5","2022-02-01",1.08770831682224
1,"team5","2022-03-01",1.07545831442624
1,"team5","2022-04-01",1.07316604369223
1,"team5","2022-05-01",1.08893239501162
1,"team5","2022-06-01",1.12009620364921
1,"team5","2022-07-01",1.12361308770641
1,"team5","2022-08-01",1.13058608715379
1,"team5","2022-09-01",1.14477555106633
1,"team5","2022-10-01",1.12889499969668
1,"team5","2022-11-01",1.14512971553912
1,"team5","2022-12-01",1.17766987044713
1,"team5","2023-01-01",1.20382872600502
1,"team5","2023-02-01",1.19777154215843
1,"team5","2023-03-01",1.19040368171171
1,"team5","2023-04-01",1.19535715789779
1,"team5","2023-05-01",1.20034345835169
1,"team5","2023-06-01",1.1616881913436
1,"team5","2023-07-01",1.18008045742185
1,"team5","2023-08-01",1.20453015290185
1,"team5","2023-09-01",1.22328867141627
1,"team5","2023-10-01",1.23368033361445
1,"team5","2023-11-01",1.26975391177391
1,"team5","2023-12-01",1.28164892130153
1,"team5","2024-01-01",1.26894960507609
1,"team5","2024-02-01",1.29207854785461
1,"team5","2024-03-01",1.29004070175867
1,"team5","2024-04-01",1.31210637655685
1,"team5","2024-05-01",1.33508882951274
1,"team5","2024-06-01",1.32876861494466
1,"team5","2024-07-01",1.36313136786721
1,"team5","2024-08-01",1.35110041857343
1,"team5","2024-09-01",1.3956313030252
1,"team5","2024-10-01",1.43472957295192
1,"team5","2024-11-01",1.44293061382626
1,"team5","2024-12-01",1.44561124254122
1,"team5","2025-01-01",1.44059733674133
1,"team5","2025-02-01",1.42629672843065
1,"team5","2025-03-01",1.43830707469137
1,"team5","2025-04-01",1.45012028164954
1,"team5","2025-05-01",1.44764939395832
1,"team5","2025-06-01",1.41174922644271
1,"team5","2025-07-01",1.39246022759482
1,"team5","2025-08-01",1.37963995649
1,"team5","2025-09-01",1.37391119609427
1,"team5","2025-10-01",1.28388105983439
1,"team5","2025-11-01",1.25245857420483
1,"team5","2025-12-01",1.40465383446232
1,"team6","2021-01-01",1
1,"team6","2021-02-01",1.00311477524512
1,"team6","2021-03-01",1.01317326681364
1,"team6","2021-04-01",1.00038168021452
1,"team6","2021-05-01",0.986296683601062
1,"team6","2021-06-01",0.978539428855258
1,"team6","2021-07-01",0.975985679653786
1,"team6","2021-08-01",0.986225588345773
1,"team6","2021-09-01",0.988597438984746
1,"team6","2021-10-01",0.998775136488735
1,"team6","2021-11-01",1.0049459530361
1,"team6","2021-12-01",1.0065581263596
1,"team6","2022-01-01",1.0092906126644
1,"team6","2022-02-01",1.01329953123567
1,"team6","2022-03-01",1.0226421895066
1,"team6","2022-04-01",1.02082401288395
1,"team6","2022-05-01",1.02163567181702
1,"team6","2022-06-01",1.02779972292881
1,"team6","2022-07-01",1.03505181829714
1,"team6","2022-08-01",1.05487008162457
1,"team6","2022-09-01",1.06788069639712
1,"team6","2022-10-01",1.07927998762868
1,"team6","2022-11-01",1.08190488115096
1,"team6","2022-12-01",1.10128365459275
1,"team6","2023-01-01",1.12316304540836
1,"team6","2023-02-01",1.12203380548983
1,"team6","2023-03-01",1.11991080117351
1,"team6","2023-04-01",1.14093710022486
1,"team6","2023-05-01",1.16671571154538
1,"team6","2023-06-01",1.13977868821685
1,"team6","2023-07-01",1.14476295653519
1,"team6","2023-08-01",1.14828069440908
1,"team6","2023-09-01",1.14930826200292
1,"team6","2023-10-01",1.15359998416461
1,"team6","2023-11-01",1.174667871479
1,"team6","2023-12-01",1.18503464754323
1,"team6","2024-01-01",1.18269991135161
1,"team6","2024-02-01",1.20421557302174
1,"team6","2024-03-01",1.21988260043526
1,"team6","2024-04-01",1.23395962821186
1,"team6","2024-05-01",1.25895870079579
1,"team6","2024-06-01",1.27932679735759
1,"team6","2024-07-01",1.31916781037963
1,"team6","2024-08-01",1.34549494454312
1,"team6","2024-09-01",1.36054965604331
1,"team6","2024-10-01",1.37735180276429
1,"team6","2024-11-01",1.40747061314207
1,"team6","2024-12-01",1.38598214074583
1,"team6","2025-01-01",1.39218200448191
1,"team6","2025-02-01",1.38609973032154
1,"team6","2025-03-01",1.40008856170984
1,"team6","2025-04-01",1.37831034080349
1,"team6","2025-05-01",1.36792888899718
1,"team6","2025-06-01",1.35975757793662
1,"team6","2025-07-01",1.34234364991272
1,"team6","2025-08-01",1.30260770454317
1,"team6","2025-09-01",1.34491018777914
1,"team6","2025-10-01",1.4610366162401
1,"team6","2025-11-01",1.42927948847606
1,"team6","2025-12-01",1.40646477223324
1,"team7","2021-01-01",1
1,"team7","2021-02-01",1.00583033447635
1,"team7","2021-03-01",0.979476494517456
1,"team7","2021-04-01",0.988458996176263
1,"team7","2021-05-01",0.956713522697599
1,"team7","2021-06-01",0.983382804237578
1,"team7","2021-07-01",0.963191871102467
1,"team7","2021-08-01",0.951874444611518
1,"team7","2021-09-01",0.968180744626648
1,"team7","2021-10-01",0.948914404800283
1,"team7","2021-11-01",0.987828252750678
1,"team7","2021-12-01",1.01265052073296
1,"team7","2022-01-01",0.999949342203936
1,"team7","2022-02-01",1.01743529392303
1,"team7","2022-03-01",1.01347680482869
1,"team7","2022-04-01",0.975630002898321
1,"team7","2022-05-01",0.984547707413272
1,"team7","2022-06-01",0.994936965476693
1,"team7","2022-07-01",1.00050558657033
1,"team7","2022-08-01",1.00134958828827
1,"team7","2022-09-01",0.999288176291954
1,"team7","2022-10-01",0.979531999938922
1,"team7","2022-11-01",1.01472503075872
1,"team7","2022-12-01",1.02730042513522
1,"team7","2023-01-01",1.03154019221745
1,"team7","2023-02-01",1.04090486916443
1,"team7","2023-03-01",1.05734348759424
1,"team7","2023-04-01",1.0659037141809
1,"team7","2023-05-01",1.07531571968854
1,"team7","2023-06-01",1.04344558366379
1,"team7","2023-07-01",1.04672454568993
1,"team7","2023-08-01",1.06805538220759
1,"team7","2023-09-01",1.09426448498032
1,"team7","2023-10-01",1.13501537924697
1,"team7","2023-11-01",1.15608158440976
1,"team7","2023-12-01",1.17434186859978
1,"team7","2024-01-01",1.18717601535931
1,"team7","2024-02-01",1.19842704365462
1,"team7","2024-03-01",1.16399230804315
1,"team7","2024-04-01",1.21012781413465
1,"team7","2024-05-01",1.27207743366803
1,"team7","2024-06-01",1.27895188438471
1,"team7","2024-07-01",1.29770719232391
1,"team7","2024-08-01",1.2561340803844
1,"team7","2024-09-01",1.28630226237033
1,"team7","2024-10-01",1.31890118107813
1,"team7","2024-11-01",1.25242114140844
1,"team7","2024-12-01",1.27200809290279
1,"team7","2025-01-01",1.18956987843367
1,"team7","2025-02-01",1.17832182948218
1,"team7","2025-03-01",1.15690917529434
1,"team7","2025-04-01",1.20082702178315
1,"team7","2025-05-01",1.21560002834858
1,"team7","2025-06-01",1.1438910291287
1,"team7","2025-07-01",1.07422438606246
1,"team7","2025-08-01",1.09399565818412
1,"team7","2025-09-01",1.05446232626821
1,"team7","2025-10-01",0.870652134835099
1,"team7","2025-11-01",0.817316485405573
1,"team7","2025-12-01",0.815514132375297
